Ticket ID,Open Time,Open Price,Close Time,Close Price,Profit,Lots,Commission,Swap,Symbol,Type,SL,TP,Pips,Reason,Volume
23524560,2024.05.21 14:06:32,1.08655,2024-05-21 15:10:44,1.08621,-972,27,-81,0,EURUSD,Buy,1.0862,1.0871,-36.000000,3,2700
23421785,2024.05.21 09:47:02,1.08596,2024-05-21 10:01:46,1.08636,1200,30,-90,0,EURUSD,Buy,1.0857,1.0864,40.000000,4,3000
22818853,2024.05.17 18:11:12,1.08717,2024-05-17 18:32:18,1.08665,-988,19,-57,0,EURUSD,Buy,1.0867,1.0879,-52.000000,3,1900
22619317,2024.05.17 12:04:49,1.08466,2024-05-17 12:05:25,1.08452,132,22,-66,0,EURUSD,Sell,1.0852,1.0841,6.000000,16,2200
22213395,2024.05.16 11:55:07,1.08727,2024-05-16 13:34:07,1.08679,1323,27,-81,0,EURUSD,Sell,1.0867,1.0866,49.000000,3,2700
21731892,2024.05.15 11:33:13,1.08316,2024-05-15 11:38:20,1.08292,-920,40,-120,0,EURUSD,Buy,1.0829,1.0835,-23.000000,3,4000
21674494,2024.05.15 09:15:16,1.08245,2024-05-15 09:39:40,1.08251,-342,38,-114,0,EURUSD,Buy,1.0825,1.0825,-9.000000,16,3800
21548822,2024.05.14 18:21:44,1.08192,2024-05-14 20:27:41,1.08188,-187,17,-51,0,EURUSD,Buy,1.0814,1.0826,-11.000000,16,1700
20973167,2024.05.13 14:55:40,1.07912,2024-05-13 15:12:42,1.07972,1500,25,-75,0,EURUSD,Buy,1.0787,1.0797,60.000000,4,2500
20906967,2024.05.13 12:14:49,1.07853,2024-05-13 12:30:19,1.07825,-952,34,-102,0,EURUSD,Buy,1.0783,1.0789,-28.000000,3,3400
20313196,2024.05.09 18:19:04,1.07776,2024-05-09 18:47:26,1.07754,-540,20,-60,0,EURUSD,Buy,1.0773,1.0784,-27.000000,16,2000
20023187,2024.05.09 10:58:08,1.07349,2024-05-09 11:28:10,1.07297,1300,25,-75,0,EURUSD,Sell,1.0739,1.073,52.000000,4,2500
19675573,2024.05.08 13:32:14,1.07506,2024-05-08 14:15:07,1.07477,-986,34,-102,0,EURUSD,Buy,1.0748,1.0754,-29.000000,3,3400
19297195,2024.05.07 15:53:07,1.07773,2024-05-07 16:32:09,1.07816,1247,29,-87,0,EURUSD,Buy,1.0774,1.0782,43.000000,4,2900
18909975,2024.05.06 16:32:29,1.07817,2024-05-06 16:54:23,1.07865,1344,28,-84,0,EURUSD,Buy,1.0778,1.0786,48.000000,4,2800
18445449,2024.05.03 14:37:45,1.0746,2024-05-03 15:19:30,1.07496,1110,30,-90,0,EURUSD,Buy,1.0746,1.075,37.000000,4,3000
18372323,2024.05.03 10:13:29,1.07317,2024-05-03 10:16:15,1.07277,1292,34,-102,0,EURUSD,Sell,1.0735,1.0728,38.000000,4,3400
18020767,2024.05.02 12:49:22,1.07001,2024-05-02 13:38:17,1.0704,-684,18,-54,0,EURUSD,Sell,1.0704,1.0692,-38.000000,3,1800
17943736,2024.05.02 09:39:37,1.07205,2024-05-02 10:00:21,1.07152,-972,18,-54,0,EURUSD,Buy,1.0715,1.0727,-54.000000,3,1800
17543734,2024.05.01 11:39:25,1.06666,2024-05-01 12:04:55,1.06704,1330,35,-105,0,EURUSD,Buy,1.0664,1.067,38.000000,4,3500
17140941,2024.04.30 13:00:18,1.07262,2024-04-30 13:40:57,1.07347,1275,15,-45,0,EURUSD,Buy,1.072,1.0735,85.000000,4,1500
16827055,2024.04.29 16:57:11,1.06983,2024-04-29 17:00:26,1.07029,-1012,22,-66,0,EURUSD,Sell,1.0703,1.0693,-46.000000,3,2200
16746334,2024.04.29 14:31:38,1.0721,2024-04-29 14:38:49,1.0716,-1150,23,-69,0,EURUSD,Buy,1.0716,1.0727,-50.000000,3,2300
